,label,PCA_feature_137
1,0.0,-1.9845236565174673e-15
1,1.0,5.336009412104659e-15
2,0.0,5.537237335317968e-15
2,1.0,8.049116928532385e-15
3,1.0,-3.9898639947466563e-17
5,1.0,-8.326672684688674e-16
5,0.0,-1.1934897514720433e-15
6,1.0,-8.396061623727746e-16
7,0.0,-2.123301534595612e-15
7,1.0,-2.1198320876436583e-15
8,0.0,-1.27675647831893e-15
8,1.0,-3.0531133177191805e-16
9,0.0,-2.5673907444456745e-15
10,1.0,3.469446951953614e-17
11,0.0,-2.706168622523819e-15
11,1.0,4.163336342344337e-16
12,1.0,-5.412337245047638e-16
12,0.0,-1.9897278269453977e-15
13,0.0,1.0824674490095276e-15
13,1.0,8.72565908416334e-16
14,0.0,-5.424480309379476e-15
14,1.0,-1.1102230246251565e-15
15,0.0,-2.831068712794149e-15
15,1.0,7.771561172376096e-16
17,1.0,2.9976021664879227e-15
17,0.0,1.3877787807814457e-16
18,0.0,5.551115123125783e-16
19,1.0,3.5388358909926865e-16
19,0.0,-2.6020852139652106e-15
21,0.0,-2.0261570199409107e-15
22,1.0,-2.498001805406602e-16
22,0.0,-2.2690183065776637e-15
23,0.0,2.0122792321330962e-16
24,0.0,-4.274358644806853e-15
25,1.0,-2.3626933742804113e-15
26,0.0,-2.733924198139448e-15
27,1.0,4.579669976578771e-16
28,1.0,1.3600232051658168e-15
28,0.0,4.163336342344337e-16
29,0.0,8.326672684688674e-17
30,0.0,-5.35682609381638e-15
31,0.0,-2.52510685971874e-15
31,1.0,1.3600232051658168e-15
32,1.0,-1.7763568394002505e-15
32,0.0,2.921274333544943e-15
33,0.0,-4.3576253716537394e-15
34,1.0,1.0269562977782698e-15
35,1.0,1.85268467234323e-15
35,0.0,-1.7763568394002505e-15
36,1.0,2.345346139520643e-15
36,0.0,-2.095545958979983e-15
37,0.0,-6.522560269672795e-15
37,1.0,4.343747583845925e-15
38,0.0,-5.754077769815069e-15
39,0.0,-2.1996293675385914e-15
39,1.0,1.4710455076283324e-15
40,0.0,-2.4702462297909733e-15
40,1.0,-4.163336342344337e-16
42,0.0,4.440892098500626e-16
42,1.0,1.7618285302889447e-16
43,1.0,4.052314039881821e-15
43,0.0,-9.853229343548264e-16
44,1.0,3.469446951953614e-16
45,1.0,6.25888230132432e-15
45,0.0,-2.7200464103316335e-15
46,0.0,-1.942890293094024e-15
46,1.0,2.7408630920433552e-15
47,1.0,3.191891195797325e-15
48,1.0,-1.3877787807814457e-17
48,0.0,-3.3306690738754696e-15
49,1.0,1.915134717478395e-15
49,0.0,2.636779683484747e-16
51,1.0,1.3877787807814457e-17
51,0.0,-4.385380947269368e-15
52,1.0,2.5118795932144167e-15
52,0.0,1.0824674490095276e-15
53,0.0,-5.245803791353865e-15
53,1.0,4.385380947269368e-15
54,0.0,-2.0816681711721685e-16
54,1.0,1.8041124150158794e-15
55,0.0,1.4988010832439613e-15
56,0.0,-1.4988010832439613e-15
57,1.0,4.163336342344337e-16
58,0.0,3.1086244689504383e-15
59,1.0,-1.0547118733938987e-15
60,0.0,-5.84601811404184e-16
60,1.0,2.914335439641036e-16
61,1.0,1.3877787807814457e-17
62,0.0,-1.5404344466674047e-15
63,0.0,-2.123301534595612e-15
64,0.0,8.213915658750182e-15
66,0.0,2.7755575615628914e-17
68,0.0,-5.315192730392937e-15
69,0.0,-2.0816681711721685e-15
71,0.0,-2.0409021694867135e-15
74,0.0,2.220446049250313e-16
75,0.0,-1.0130785099704553e-15
76,0.0,-2.7408630920433552e-15
77,0.0,-7.105427357601002e-15
79,0.0,-1.2490009027033011e-15
80,0.0,-2.2898349882893854e-15
81,0.0,6.106226635438361e-16
82,0.0,-3.0531133177191805e-15
83,0.0,5.273559366969494e-16
84,0.0,-1.7208456881689926e-15
85,0.0,2.067790383364354e-15
86,0.0,-1.5543122344752192e-15
87,0.0,-4.9960036108132044e-15
88,0.0,-1.3877787807814457e-17
90,0.0,9.159339953157541e-16
91,0.0,-4.9404924595819466e-15
96,0.0,1.915134717478395e-15
98,0.0,1.8457457784393227e-15
99,0.0,8.326672684688674e-17
100,0.0,5.065392549852277e-16
101,0.0,1.5126788710517758e-15
102,0.0,-7.042977312465837e-15
103,0.0,-1.9290125052862095e-15
105,0.0,-4.85722573273506e-16
107,0.0,5.967448757360216e-16
108,0.0,-1.4432899320127035e-15
110,0.0,7.077671781985373e-16
114,0.0,1.5677563414140394e-15
117,0.0,-4.527628272299467e-16
118,0.0,6.800116025829084e-16
119,0.0,-1.3461454173580023e-15
120,0.0,3.608224830031759e-16
